N, Search Ops, Balance Ops
636, 4680, 347
637, 4689, 347
638, 4698, 347
639, 4706, 347
640, 4714, 347
641, 4722, 347
642, 4729, 347
643, 4737, 347
644, 4746, 347
645, 4751, 347
646, 4759, 347
647, 4769, 347
648, 4777, 347
649, 4787, 349
650, 4790, 349
651, 4796, 349
652, 4806, 350
653, 4814, 350
654, 4822, 350
655, 4832, 350
656, 4837, 350
657, 4847, 352
658, 4852, 352
659, 4861, 353
660, 4869, 353
661, 4877, 353
662, 4884, 353
663, 4893, 353
664, 4900, 353
665, 4909, 353
666, 4918, 353
667, 4925, 353
668, 4932, 353
669, 4939, 353
670, 4947, 353
671, 4952, 353
672, 4962, 354
673, 4970, 354
674, 4977, 354
675, 4984, 354
676, 4992, 354
677, 5000, 354
678, 5009, 354
679, 5019, 355
680, 5024, 355
681, 5029, 355
682, 5039, 356
683, 5048, 356
684, 5054, 356
685, 5063, 358
686, 5071, 358
687, 5075, 358
688, 5085, 358
689, 5093, 358
690, 5102, 358
691, 5110, 358
692, 5118, 358
693, 5127, 358
694, 5136, 358
695, 5144, 358
696, 5152, 358
697, 5162, 360
698, 5169, 360
699, 5178, 360
700, 5187, 361
701, 5193, 361
702, 5202, 361
703, 5210, 361
704, 5213, 361
705, 5221, 361
706, 5231, 362
707, 5238, 362
708, 5248, 363
709, 5256, 363
710, 5266, 363
711, 5275, 364
712, 5282, 364
713, 5292, 366
714, 5300, 366
715, 5308, 366
716, 5316, 366
717, 5320, 366
718, 5325, 366
719, 5334, 366
720, 5344, 366
721, 5354, 367
722, 5363, 369
723, 5373, 369
724, 5375, 369
725, 5381, 369
726, 5390, 369
727, 5398, 369
728, 5404, 369
729, 5413, 370
730, 5422, 370
731, 5429, 370
732, 5438, 370
733, 5447, 370
734, 5451, 370
735, 5459, 370
736, 5469, 371
737, 5476, 371
738, 5484, 371
739, 5491, 371
740, 5500, 372
741, 5507, 372
742, 5516, 372
743, 5525, 372
744, 5534, 372
745, 5539, 372
746, 5548, 372
747, 5556, 372
748, 5566, 374
749, 5576, 376
750, 5583, 376
751, 5592, 376
752, 5601, 376
753, 5609, 378
754, 5619, 378
755, 5627, 378
756, 5636, 378
757, 5644, 380
758, 5654, 382
759, 5660, 382
760, 5669, 382
761, 5679, 384
762, 5688, 384
763, 5697, 384
764, 5706, 384
765, 5716, 386
766, 5720, 386
767, 5729, 388
768, 5739, 388
769, 5747, 388
770, 5755, 388
771, 5759, 388
772, 5769, 388
773, 5777, 388
774, 5786, 388
775, 5794, 388
776, 5803, 388
777, 5812, 388
778, 5822, 388
779, 5831, 389
780, 5837, 389
781, 5845, 389
782, 5854, 389
783, 5863, 391
784, 5871, 391
785, 5879, 391
786, 5887, 391
787, 5894, 391
788, 5900, 391
789, 5908, 391
790, 5915, 391
791, 5923, 391
792, 5932, 391
793, 5937, 391
794, 5946, 393
795, 5956, 393
796, 5966, 393
797, 5974, 393
798, 5982, 393
799, 5988, 393
800, 5998, 394
801, 6001, 394
802, 6009, 396
803, 6018, 396
804, 6026, 396
805, 6035, 398
806, 6043, 398
807, 6051, 398
808, 6059, 398
809, 6068, 400
810, 6075, 400
811, 6084, 400
812, 6093, 400
813, 6101, 400
814, 6108, 400
815, 6116, 400
816, 6124, 400
817, 6133, 400
818, 6143, 400
819, 6153, 402
820, 6163, 403
821, 6173, 405
822, 6183, 407
823, 6190, 407
824, 6200, 408
825, 6208, 408
826, 6216, 408
827, 6225, 408
828, 6234, 408
829, 6240, 408
830, 6249, 408
831, 6256, 408
832, 6266, 410
833, 6276, 412
834, 6285, 414
835, 6294, 414
836, 6303, 415
837, 6310, 415
838, 6318, 415
839, 6328, 417
840, 6336, 417
841, 6344, 417
842, 6353, 418
843, 6362, 419
844, 6371, 419
845, 6381, 419
846, 6389, 419
847, 6397, 419
848, 6406, 419
849, 6412, 419
850, 6421, 421
851, 6430, 421
852, 6439, 422
853, 6447, 422
854, 6454, 422
855, 6460, 422
856, 6469, 423
857, 6479, 423
858, 6487, 423
859, 6497, 425
860, 6503, 425
861, 6509, 425
862, 6518, 425
863, 6526, 425
864, 6536, 425
865, 6545, 425
866, 6554, 426
867, 6562, 426
868, 6569, 426
869, 6577, 426
870, 6587, 426
871, 6594, 426
872, 6602, 426
873, 6610, 426
874, 6619, 426
875, 6628, 426
876, 6636, 426
877, 6645, 428
878, 6654, 428
